source_record_id,result_rank,title,authors,year,doi,url,record_type,venue,normalized_title,exact_doi_duplicate_group,normalized_title_duplicate_group,manual_version_duplicate_group,deduplication_status,deduplication_notes
GS015,15,WOA-SA: Optimizing NIDS with enhanced deep learning for zero -day attack detection,"MS HABEEB, TR BABU",2024,,https://www.researchgate.net/profile/Mohammed-Habeeb-2/publication/382636647_WOA-SA_OPTIMIZING_NIDS_WITH_ENHANCED_DEEP_LEARNING_FOR_ZERO-DAY_ATTACK_DETECTION/links/66a67edfc6e41359a8468d7d/WOA-SA-OPTIMIZING-NIDS-WITH-ENHANCED-DEEP-LEARNING-FOR-ZERO-DAY-ATTACK-DETECTION.pdf,journal-article,Journal of Jilin University (Engineering…,woa sa optimizing nids with enhanced deep learning for zero day attack detection,,TITLE_DUP_025,,candidate_duplicate,normalized-title candidate with GS010
GS016,16,Unveiling the Generalizability Gap: A Cross-Domain Evaluation of Machine Learning Algorithms for Network Intrusion Detection,"MI Amin, M Shen, SUA Laghari…",2024,,https://ieeexplore.ieee.org/abstract/document/11119949/,journal-article,,unveiling the generalizability gap a cross domain evaluation of machine learning algorithms for network intrusion detection,,,,no_automatic_match,
GS017,17,Machine learning in network intrusion detection : A cross -dataset generalization study,"M Cantone, C Marrocco, A Bria",2024,10.1109/access.2024.3472907,https://ieeexplore.ieee.org/abstract/document/10704637/,journal-article,IEEE Access,machine learning in network intrusion detection a cross dataset generalization study,DOI_DUP_010,TITLE_DUP_017,VERSION_DUP_002,candidate_duplicate,exact DOI candidate with IX003 | normalized-title candidate with IX003 | manual preprint-to-final version candidate with GS014
GS018,18,Transfer Learning with CNNs for Cross -Dataset Network Anomaly Detection in Heterogeneous Cybersecurity Environments,L Ridwan,2025,,https://www.researchgate.net/profile/Noora-Qahtani/publication/395924463_Transfer_Learning_with_CNNs_for_Cross-Dataset_Network_Anomaly_Detection_in_Heterogeneous_Cybersecurity_Environments/links/68d85bfeffdca73694b3cdb6/Transfer-Learning-with-CNNs-for-Cross-Dataset-Network-Anomaly-Detection-in-Heterogeneous-Cybersecurity-Environments.pdf,journal-article,,transfer learning with cnns for cross dataset network anomaly detection in heterogeneous cybersecurity environments,,,,no_automatic_match,
GS019,19,CNN channel attention intrusion detection system using NSL-KDD dataset,"FS Alrayes, M Zakariah, SU Amin, ZI Khan…",2024,10.32604/cmc.2024.050586,https://www.sciopen.com/article/10.32604/cmc.2024.050586,journal-article,"Computers, Materials &…",cnn channel attention intrusion detection system using nsl kdd dataset,,,,no_automatic_match,
GS020,20,NIDS -CBAD: detecting adversarial attacks in network intrusion detection systems using domain constraints,"V Kumar, K Kumar, M Singh",2025,10.1007/s13042-024-02506-8,https://link.springer.com/article/10.1007/s13042-024-02506-8,journal-article,International Journal of Machine Learning…,nids cbad detecting adversarial attacks in network intrusion detection systems using domain constraints,DOI_DUP_004,TITLE_DUP_021,,candidate_duplicate,exact DOI candidate with CR034 | normalized-title candidate with CR034
GS021,21,Learn-ids: Bridging gaps between datasets and learning-based network intrusion detection,"M Wang, N Yang, Y Guo, N Weng",2024,,https://www.mdpi.com/2079-9292/13/6/1072,journal-article,Electronics,learn ids bridging gaps between datasets and learning based network intrusion detection,,,,no_automatic_match,
GS022,22,DATI-IDS: Domain adaptation and time-series imaging-based intrusion detection system for connected autonomous vehicles,"J Tan, L Huang, Z Xia, K Gu, W Hao…",2025,10.1109/tits.2025.3587750,https://ieeexplore.ieee.org/abstract/document/11095369/,journal-article,IEEE Transactions on…,dati ids domain adaptation and time series imaging based intrusion detection system for connected autonomous vehicles,DOI_DUP_018,TITLE_DUP_012,,candidate_duplicate,exact DOI candidate with GS006 | normalized-title candidate with GS006
GS023,23,"Deep Learning for Contextualized NetFlow-Based Network Intrusion Detection : Methods, Data, Evaluation and Deployment","AE Mahdaouy, IA Yahia, S Oualil, I Berrada",2026,10.48550/arXiv.2602.05594,https://arxiv.org/abs/2602.05594,posted-content,arXiv preprint arXiv…,deep learning for contextualized netflow based network intrusion detection methods data evaluation and deployment,DOI_DUP_023,TITLE_DUP_013,,candidate_duplicate,exact DOI candidate with GS009 | normalized-title candidate with GS009
GS024,24,Industrial network intrusion detection in open -set scenarios,"W Yu, Z Chen, H Wang, Z Miao, D Zhong",2025,10.1007/s10207-024-00949-2,https://link.springer.com/article/10.1007/s10207-024-00949-2,journal-article,International Journal of…,industrial network intrusion detection in open set scenarios,,,,no_automatic_match,
