source_record_id,result_rank,title,authors,year,doi,url,record_type,venue,normalized_title,exact_doi_duplicate_group,normalized_title_duplicate_group,manual_version_duplicate_group,deduplication_status,deduplication_notes
GS075,77,Enhanced anomaly network intrusion detection using an improved snow ablation optimizer with dimensionality reduction and hybrid deep learning model,"F Alhayan, A Alshuhail, AOA Ismail, O Alrusaini…",2025,10.1038/s41598-025-97398-1,https://www.nature.com/articles/s41598-025-97398-1,journal-article,Scientific Reports,enhanced anomaly network intrusion detection using an improved snow ablation optimizer with dimensionality reduction and hybrid deep learning model,,,,no_automatic_match,
GS076,78,A novel contrastive loss for zero -day network intrusion detection,"J Wilkie, H Hindy, C Michie, C Tachtatzis…",2026,10.1109/tnsm.2026.3652529,https://ieeexplore.ieee.org/abstract/document/11340750/,journal-article,…on Network and…,a novel contrastive loss for zero day network intrusion detection,,,,no_automatic_match,
GS077,79,Enhancing adversarial robustness in network intrusion detection : A novel adversarially trained neural network approach,"H Vahid, N Kofi",2025,,https://search.proquest.com/openview/9bf0e8df9a87b9fd57ec42dde4b7fceb/1?pq-origsite=gscholar&cbl=2032404,journal-article,Electronics,enhancing adversarial robustness in network intrusion detection a novel adversarially trained neural network approach,,,,no_automatic_match,
GS078,80,Multi-objective evolutionary neural architecture search for network intrusion detection,"Q Lin, Z Liu, Y Yang, KC Wong, Y Lu, J Li",2024,10.1016/j.swevo.2024.101702,https://www.sciencedirect.com/science/article/pii/S2210650224002402,journal-article,Swarm and Evolutionary…,multi objective evolutionary neural architecture search for network intrusion detection,DOI_DUP_009,TITLE_DUP_018,,candidate_duplicate,exact DOI candidate with GS079 | normalized-title candidate with GS079
GS079,81,Multi-objective evolutionary neural architecture search for network intrusion detection,"Q Lin, Z Liu, Y Yang, KC Wong, Y Lu, J Li",2024,10.1016/j.swevo.2024.101702,https://www.sciencedirect.com/science/article/pii/S2210650224002402,journal-article,Swarm and Evolutionary…,multi objective evolutionary neural architecture search for network intrusion detection,DOI_DUP_009,TITLE_DUP_018,,candidate_duplicate,exact DOI candidate with GS078 | normalized-title candidate with GS078
GS080,82,Bi-GAN-LDA for cybersecurity: A hybrid deep learning framework for advanced network anomaly detection,"P Singh, P Pranav, S Dutta",2025,10.1088/2631-8695/add4c8/meta,https://iopscience.iop.org/article/10.1088/2631-8695/add4c8/meta,journal-article,Engineering Research Express,bi gan lda for cybersecurity a hybrid deep learning framework for advanced network anomaly detection,,,,no_automatic_match,
GS081,83,Deep learning -based network anomaly detection and classification in an imbalanced cloud environment,"AD Vibhute, V Nakum",2024,,https://www.sciencedirect.com/science/article/pii/S1877050924001625,journal-article,Procedia Computer Science,deep learning based network anomaly detection and classification in an imbalanced cloud environment,,,,no_automatic_match,
GS082,84,Network Intrusion Detection System Using Convolutional Neural Network and Random Forest Classifiers,"VL Rismawan, ER Pramudya",2025,,https://jurnal.polbeng.ac.id/index.php/ISI/article/view/476/211,journal-article,INOVTEK Polbeng-Seri…,network intrusion detection system using convolutional neural network and random forest classifiers,,,,no_automatic_match,
GS083,85,Real-Time Network Intrusion Detection System Using Deep Learning : Identifying Cyber Attacks Through Anomaly Pattern Recognition,R Chandra,2025,,https://www.jsrtjournal.com/index.php/JSRT/article/view/388,journal-article,Journal of Scientific Research and Technology,real time network intrusion detection system using deep learning identifying cyber attacks through anomaly pattern recognition,,,,no_automatic_match,
GS084,86,Deep learning based network intrusion detection for unmanned aerial vehicle (uav),"W Ahmad, MA Almaiah, A Ali…",2024,,https://ieeexplore.ieee.org/abstract/document/10541665/,journal-article,,deep learning based network intrusion detection for unmanned aerial vehicle uav,,,,no_automatic_match,
GS085,87,GDLC: A new Graph Deep Learning framework based on centrality measures for intrusion detection in IoT networks,"M Termos, Z Ghalmane, A Fadlallah, A Jaber, M Zghal",2024,,https://www.sciencedirect.com/science/article/pii/S2542660524001550,journal-article,Internet of Things,gdlc a new graph deep learning framework based on centrality measures for intrusion detection in iot networks,,,,no_automatic_match,
GS086,88,Addressing modern cybersecurity challenges: A hybrid machine learning and deep learning approach for network intrusion detection,"K Bouzaachane, AM Alnajim, S Khan",2025,,https://www.sciencedirect.com/org/science/article/pii/S1546221825006083,journal-article,"Computers, Materials and…",addressing modern cybersecurity challenges a hybrid machine learning and deep learning approach for network intrusion detection,,,,no_automatic_match,
GS087,89,A hybrid deep learning model for network intrusion detection system using seq2seq and convlstm-subnets,"S Hariharan, YA Jerusha, G Suganeshwari…",2025,10.1109/access.2025.3541399,https://ieeexplore.ieee.org/abstract/document/10883985/,journal-article,IEEE…,a hybrid deep learning model for network intrusion detection system using seq2seq and convlstm subnets,DOI_DUP_011,TITLE_DUP_003,,candidate_duplicate,exact DOI candidate with IX008 | normalized-title candidate with IX008
GS088,90,A comparison of neural -network -based intrusion detection against signature-based detection in IoT networks,"M Schrötter, A Niemann, B Schnor",2024,,https://www.mdpi.com/2078-2489/15/3/164,journal-article,Information,a comparison of neural network based intrusion detection against signature based detection in iot networks,,,,no_automatic_match,
GS089,91,Comprehensive review of advanced machine learning techniques for detecting and mitigating zero -day exploits,"N Mohamed, H Taherdoost…",2025,,https://pdfs.semanticscholar.org/ba1c/f8dd51d3827c1cbec818b45a4c28746a939a.pdf,journal-article,EAI Endorsed…,comprehensive review of advanced machine learning techniques for detecting and mitigating zero day exploits,,,,no_automatic_match,
GS090,92,Network intrusion detection and mitigation in SDN using deep learning models,"M Maddu, YN Rao",2024,10.1007/s10207-023-00771-2,https://link.springer.com/article/10.1007/s10207-023-00771-2,journal-article,International Journal of Information Security,network intrusion detection and mitigation in sdn using deep learning models,,,,no_automatic_match,
GS091,93,Deep learning -based anomaly detection and log analysis for computer networks,"S Wang, R Jiang, Z Wang, Y Zhou",2024,10.48550/arXiv.2407.05639,https://arxiv.org/abs/2407.05639,posted-content,arXiv preprint arXiv:2407.05639,deep learning based anomaly detection and log analysis for computer networks,,,,no_automatic_match,
GS092,94,XMF-GNN: A cross-modality dynamic fusion heterogeneous graph neural network for network intrusion detection,"Z Ma, Y Liu, Y Chen, Z Liu, Y Li",2025,,https://www.sciencedirect.com/science/article/pii/S0925231225019575,journal-article,Neurocomputing,xmf gnn a cross modality dynamic fusion heterogeneous graph neural network for network intrusion detection,,,,no_automatic_match,
GS093,95,APSO-CNN-SE: An adaptive convolutional neural network approach for IoT intrusion detection,"Y Ban, D Zhang, Q He, Q Shen",2024,,https://www.sciencedirect.com/org/science/article/pii/S1546221824006921,journal-article,"Computers, Materials and Continua",apso cnn se an adaptive convolutional neural network approach for iot intrusion detection,,,,no_automatic_match,
GS094,96,Current status and challenges and future trends of deep learning -based intrusion detection models,"Y Wu, B Zou, Y Cao",2024,,https://www.mdpi.com/2313-433X/10/10/254,journal-article,Journal of Imaging,current status and challenges and future trends of deep learning based intrusion detection models,,,,no_automatic_match,
GS095,97,Poisoning and evasion: Deep learning -based nids under adversarial attacks,"H Mohammadian, AH Lashkari…",2024,,https://ieeexplore.ieee.org/abstract/document/10788064/,journal-article,,poisoning and evasion deep learning based nids under adversarial attacks,,,,no_automatic_match,
GS096,98,[C]A comparative study of deep learning -based network intrusion detection system with explainable artificial intelligence.,"TJ Kai, LY Ong, MC Leow",2025,,,journal-article,International Journal of Electrical & Computer…,c a comparative study of deep learning based network intrusion detection system with explainable artificial intelligence,,,,no_automatic_match,
GS097,99,A survey of novel framework of anomaly-based intrusion detection systems in computer networks using ensemble feature integration with deep learning techniques,"S Akkepalli, SK",2024,10.1145/3651671.3651673,https://dl.acm.org/doi/abs/10.1145/3651671.3651673,proceedings-article,Proceedings of the,a survey of novel framework of anomaly based intrusion detection systems in computer networks using ensemble feature integration with deep learning techniques,,,,no_automatic_match,
GS098,100,Constraining adversarial attacks on network intrusion detection systems: transferability and defense analysis,"N Alhussien, A Aleroud, A Melhem…",2024,,https://ieeexplore.ieee.org/abstract/document/10411959/,journal-article,IEEE Transactions on…,constraining adversarial attacks on network intrusion detection systems transferability and defense analysis,,,,no_automatic_match,
GS099,101,Deep Learning -Based Intrusion Detection: A CNN-LSTM-Transformer Approach for Enhanced Network Security,"D Liu, X Zheng, P Wang, J Chuan, Y Lv…",2025,10.1145/3759179.3760451,https://dl.acm.org/doi/abs/10.1145/3759179.3760451,proceedings-article,Proceedings of the 10th…,deep learning based intrusion detection a cnn lstm transformer approach for enhanced network security,,,,no_automatic_match,
GS100,102,Enhancing network intrusion detection systems with combined network and host traffic features using deep learning : Deep learning and IoT perspective,"ESA Alars, S Kurnaz",2024,10.1007/s10791-024-09480-3,https://link.springer.com/article/10.1007/s10791-024-09480-3,journal-article,Discover Computing,enhancing network intrusion detection systems with combined network and host traffic features using deep learning deep learning and iot perspective,DOI_DUP_003,TITLE_DUP_016,,candidate_duplicate,exact DOI candidate with SL004 | normalized-title candidate with SL004
GS101,103,NIDS -β*: an explainable large language based framework for contextual intrusion resilience in network security,F Saidi,2026,10.3389/frai.2026.1746661,https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2026.1746661/full,journal-article,Frontiers in Artificial Intelligence,nids an explainable large language based framework for contextual intrusion resilience in network security,,,,no_automatic_match,
GS102,104,Network intrusion detection system using random forest,"M Patidar, A Dave, D Vekariya…",2025,,https://ieeexplore.ieee.org/abstract/document/11115570/,journal-article,…on Computing for…,network intrusion detection system using random forest,,,,no_automatic_match,
GS103,105,MMCo: using multimodal deep learning to detect malicious traffic with noisy labels,"Q Yuan, G Gou, Y Zhu, Y Wang",2024,10.1007/s11704-023-2386-4,https://journal.hep.com.cn/fcs/EN/10.1007/s11704-023-2386-4,journal-article,Frontiers of Computer Science,mmco using multimodal deep learning to detect malicious traffic with noisy labels,,,,no_automatic_match,
GS104,106,RETRACTED ARTICLE: Deep learning based network intrusion detection system: a systematic literature review and future scopes,"Yogesh, LM Goyal",2024,10.1007/s10207-024-00896-y,https://link.springer.com/article/10.1007/s10207-024-00896-y,journal-article,International Journal of Information Security,retracted article deep learning based network intrusion detection system a systematic literature review and future scopes,,,,no_automatic_match,
GS105,108,Stochastic Multimodal Transformer with Uncertainty Quantification for Robust Network Intrusion Detection,"RN Anaedevha, AG Trofimov",2025,10.1007/978-3-032-07690-8_35,https://link.springer.com/chapter/10.1007/978-3-032-07690-8_35,book-chapter,International Conference on…,stochastic multimodal transformer with uncertainty quantification for robust network intrusion detection,,,,no_automatic_match,
GS106,109,Efficient deep neural network for intrusion detection using CIC-IDS-2017 dataset,G Bandarupalli,2025,10.1109/ce2ct64011.2025.10940012,https://ieeexplore.ieee.org/abstract/document/10940012/,proceedings-article,…First International Conference on Advances in…,efficient deep neural network for intrusion detection using cic ids 2017 dataset,DOI_DUP_015,TITLE_DUP_015,VERSION_DUP_001,candidate_duplicate,exact DOI candidate with GS108 | normalized-title candidate with GS108; CR005
GS107,110,varmax: Towards confidence-based zero -day attack recognition,"G Baye, P Silva, A Broggi, ND Bastian…",2024,10.1109/milcom61039.2024.10773707,https://ieeexplore.ieee.org/abstract/document/10773707/,proceedings-article,MILCOM 2024-2024…,varmax towards confidence based zero day attack recognition,DOI_DUP_016,TITLE_DUP_023,,candidate_duplicate,exact DOI candidate with GS109 | normalized-title candidate with GS109
GS108,111,Efficient deep neural network for intrusion detection using CIC-IDS-2017 dataset,G Bandarupalli,2025,10.1109/ce2ct64011.2025.10940012,https://ieeexplore.ieee.org/abstract/document/10940012/,proceedings-article,…First International Conference on Advances in…,efficient deep neural network for intrusion detection using cic ids 2017 dataset,DOI_DUP_015,TITLE_DUP_015,VERSION_DUP_001,candidate_duplicate,exact DOI candidate with GS106 | normalized-title candidate with GS106; CR005
GS109,112,varmax: Towards confidence-based zero -day attack recognition,"G Baye, P Silva, A Broggi, ND Bastian…",2024,10.1109/milcom61039.2024.10773707,https://ieeexplore.ieee.org/abstract/document/10773707/,proceedings-article,MILCOM 2024-2024…,varmax towards confidence based zero day attack recognition,DOI_DUP_016,TITLE_DUP_023,,candidate_duplicate,exact DOI candidate with GS107 | normalized-title candidate with GS107
GS110,113,Causal Graph-Enhanced Deep Learning for Robust Anomaly Detection in Network Intrusion Detection Systems,X Yu,2025,10.1109/mlprae67267.2025.11290821,https://ieeexplore.ieee.org/abstract/document/11290821/,proceedings-article,,causal graph enhanced deep learning for robust anomaly detection in network intrusion detection systems,DOI_DUP_017,TITLE_DUP_011,,candidate_duplicate,exact DOI candidate with CR021 | normalized-title candidate with CR021
CR001,1,Zt-Nids: Zero Trust - Network Intrusion Detection System Validation Based on Attack Simulations,Abeer Alalmaie; Priyadarsi Nanda; Xiangjian He,2024,10.2139/ssrn.4762072,https://doi.org/10.2139/ssrn.4762072,posted-content,,zt nids zero trust network intrusion detection system validation based on attack simulations,,,,no_automatic_match,
CR002,2,Machine Learning-Based Network Intrusion Detection System (NIDS),Md Shariful Islam,2026,10.36227/techrxiv.176834492.21643927/v1,https://doi.org/10.36227/techrxiv.176834492.21643927/v1,posted-content,,machine learning based network intrusion detection system nids,,,,no_automatic_match,
CR003,3,Deep Continual Learning Framework for Zero-Day Network Intrusion Detection Under Concept Drift,DOMINIC  JOHN KAVOI; AQEEL SAHI; CHARLES  JUMAA KATILA,2026,10.2139/ssrn.6538249,https://doi.org/10.2139/ssrn.6538249,posted-content,,deep continual learning framework for zero day network intrusion detection under concept drift,,,,no_automatic_match,
CR004,4,Federated learning-based anomaly detection for zero-day attack prevention in 6G network slices,Iftikhar Rasheed; Hala Mostafa,2025,10.1016/j.comnet.2025.111376,https://doi.org/10.1016/j.comnet.2025.111376,journal-article,Computer Networks,federated learning based anomaly detection for zero day attack prevention in 6g network slices,,,,no_automatic_match,
CR005,5,Efficient Deep Neural Network for Intrusion Detection Using CIC-IDS-2017 Dataset,GOPICHAND BANDARUPALLI,2024,10.21203/rs.3.rs-5424062/v1,https://doi.org/10.21203/rs.3.rs-5424062/v1,posted-content,,efficient deep neural network for intrusion detection using cic ids 2017 dataset,,TITLE_DUP_015,VERSION_DUP_001,candidate_duplicate,normalized-title candidate with GS106; GS108
CR006,6,CS-NIDS: Network Intrusion Detection Based on Cross-Silo Federated Learning,Maged Abdelaty,2025,10.1109/iceeng64546.2025.11031351,https://doi.org/10.1109/iceeng64546.2025.11031351,proceedings-article,2025 15th International Conference on Electrical Engineering (ICEENG),cs nids network intrusion detection based on cross silo federated learning,,,,no_automatic_match,
CR007,7,Neural Network Ensembles Combined with Statistical Models for Enhanced Encryption Algorithms,Shobana D; W .Nancy; P.R Therasa,2025,10.71443/9788197933608-06,https://doi.org/10.71443/9788197933608-06,book-chapter,"Hybrid Machine Learning Techniques for Data Encryption, Anomaly Detection, and Zero-Day Attack Prevention",neural network ensembles combined with statistical models for enhanced encryption algorithms,,,,no_automatic_match,
CR008,8,Scalable and Generalizable Cross-Domain Invariant Network Analysis and Intrusion Detection System Using Deep Learning,George Thamer Francis; Abdulrahman Gashut; Mohanad Alayedi; Malek Malkawi,2026,10.1109/ojcoms.2026.3677692,https://doi.org/10.1109/ojcoms.2026.3677692,journal-article,IEEE Open Journal of the Communications Society,scalable and generalizable cross domain invariant network analysis and intrusion detection system using deep learning,,,,no_automatic_match,
CR009,10,Integrating intrinsic information: A novel open set domain adaptation network for cross-domain fault diagnosis with multiple unknown faults,Yuteng Zhang; Hongliang Zhang; Bin Chen; Jinde Zheng; Haiyang Pan,2024,10.1016/j.knosys.2024.112100,https://doi.org/10.1016/j.knosys.2024.112100,journal-article,Knowledge-Based Systems,integrating intrinsic information a novel open set domain adaptation network for cross domain fault diagnosis with multiple unknown faults,,,,no_automatic_match,
CR010,11,ResNet50-based deep convolutional neural network for zero-day attack prediction and detection,,2025,10.19101/ijatee.2024.111100055,https://doi.org/10.19101/ijatee.2024.111100055,journal-article,International Journal of Advanced Technology and Engineering Exploration,resnet50 based deep convolutional neural network for zero day attack prediction and detection,,,,no_automatic_match,
CR011,12,Application of Transfer Learning in Multi-Domain Hybrid Cybersecurity Solutions,Shobana D,2025,10.71443/9788197933608-15,https://doi.org/10.71443/9788197933608-15,book-chapter,"Hybrid Machine Learning Techniques for Data Encryption, Anomaly Detection, and Zero-Day Attack Prevention",application of transfer learning in multi domain hybrid cybersecurity solutions,,,,no_automatic_match,
CR012,13,A Deep Learning-Based Intrusion Detection Model Integrating Convolutional Neural Network and Vision Transformer for Network Traffic Attack in the Internet of Things,Chunlai Du; Yanhui Guo; Yuhang Zhang,2024,10.3390/electronics13142685,https://doi.org/10.3390/electronics13142685,journal-article,Electronics,a deep learning based intrusion detection model integrating convolutional neural network and vision transformer for network traffic attack in the internet of things,,,,no_automatic_match,
CR013,14,ResTN: Residual Transfer Network for Cross Domain Network Intrusion Detection,Wei Huang; Yong Wang; Zhen Wang,2025,10.1109/icsp65755.2025.11086791,https://doi.org/10.1109/icsp65755.2025.11086791,proceedings-article,2025 10th International Conference on Intelligent Computing and Signal Processing (ICSP),restn residual transfer network for cross domain network intrusion detection,,,,no_automatic_match,
CR014,15,A Domain Adaptation Network Intrusion Detection Algorithm based on Class-Balanced Knowledge Transferand Multi-Structure Domain Alignment,Qian Wang; Xiang Liu; Yifan Cheng; Yongqiang Cheng; Bing Zhang,2025,10.21203/rs.3.rs-6852869/v1,https://doi.org/10.21203/rs.3.rs-6852869/v1,posted-content,,a domain adaptation network intrusion detection algorithm based on class balanced knowledge transferand multi structure domain alignment,,,,no_automatic_match,
CR015,16,Anomaly Detection in Network Traffic via Cross-Domain Federated Graph Representation Learning,Yanli Zhao; Zongduo Liu; Junjie Pang,2025,10.3390/app15116258,https://doi.org/10.3390/app15116258,journal-article,Applied Sciences,anomaly detection in network traffic via cross domain federated graph representation learning,,,,no_automatic_match,
CR016,17,Neural Network Based Zero-Day-Attack Detection: A Machine Learning Approach to Enhancing Cybersecurity,Abhijeet Sharma; Akash Nigam; Jatin Chaudhary; Sonal Shukla,2024,10.2139/ssrn.4848658,https://doi.org/10.2139/ssrn.4848658,journal-article,SSRN Electronic Journal,neural network based zero day attack detection a machine learning approach to enhancing cybersecurity,,,,no_automatic_match,
CR017,18,Hybrid Supervised and Unsupervised Learning Models for Identifying Network Anomalies,D Kanchana; Hubert Mary L; A Thilagavathy,2025,10.71443/9788197933608-04,https://doi.org/10.71443/9788197933608-04,book-chapter,"Hybrid Machine Learning Techniques for Data Encryption, Anomaly Detection, and Zero-Day Attack Prevention",hybrid supervised and unsupervised learning models for identifying network anomalies,,,,no_automatic_match,
CR018,20,Overcoming emergency HTTP/3 DDoS attack detection: A domain adaptation solution with graph neural network,Jie Yao; Li Tian; Ziyi Wei; Guozi Sun,2025,10.1016/j.comnet.2025.111611,https://doi.org/10.1016/j.comnet.2025.111611,journal-article,Computer Networks,overcoming emergency http 3 ddos attack detection a domain adaptation solution with graph neural network,,,,no_automatic_match,
CR019,21,Privacy-Preserving Federated Network Intrusion Detection on Encrypted Traffic: A Multi-Site Cross-Domain Approach with XGBoost Optimization,Peter Oluwaseun Adepoju; Mohammed Al-Hubaishi,2025,10.1109/icmlant68509.2025.11394855,https://doi.org/10.1109/icmlant68509.2025.11394855,proceedings-article,2025 IEEE International Conference on Machine Learning and Applied Network Technologies (ICMLANT),privacy preserving federated network intrusion detection on encrypted traffic a multi site cross domain approach with xgboost optimization,,,,no_automatic_match,
CR020,22,An innovative intrusion detection framework using GAN-augmented Deep Ensemble Neural Network for cross-domain IoT–cloud security,Sadia Nazim; Syed Shujaa Hussain; Bilal Yousuf; Saima Sultana; Eraj Tanweer,2025,10.1016/j.iot.2025.101773,https://doi.org/10.1016/j.iot.2025.101773,journal-article,Internet of Things,an innovative intrusion detection framework using gan augmented deep ensemble neural network for cross domain iot cloud security,,,,no_automatic_match,
CR021,23,Causal Graph-Enhanced Deep Learning for Robust Anomaly Detection in Network Intrusion Detection Systems,Xiaoyan Yu,2025,10.1109/mlprae67267.2025.11290821,https://doi.org/10.1109/mlprae67267.2025.11290821,proceedings-article,"2025 2nd International Conference on Machine Learning, Pattern Recognition and Automation Engineering (MLPRAE)",causal graph enhanced deep learning for robust anomaly detection in network intrusion detection systems,DOI_DUP_017,TITLE_DUP_011,,candidate_duplicate,exact DOI candidate with GS110 | normalized-title candidate with GS110
CR022,24,An Efficient Deep Learning Framwork for Classification and Detection of Anomaly Based Network Intrusion using NSL-KDD Dataset,Parth Mehrotra; Uttkarsh Dwivedi,2025,10.1109/icdt63985.2025.10986548,https://doi.org/10.1109/icdt63985.2025.10986548,proceedings-article,2025 3rd International Conference on Disruptive Technologies (ICDT),an efficient deep learning framwork for classification and detection of anomaly based network intrusion using nsl kdd dataset,,,,no_automatic_match,
CR023,25,Application of Deep Learning-Based Intrusion Detection System (IDS) in Network Anomaly Traffic Detection,Fanyi Zhao; Hanzhe Li; Kaiyi Niu; Jiatu Shi; Runze Song,2024,10.20944/preprints202407.0595.v1,https://doi.org/10.20944/preprints202407.0595.v1,posted-content,,application of deep learning based intrusion detection system ids in network anomaly traffic detection,,,,no_automatic_match,
CR024,27,Network Anomaly Detection Scheme Using Graph Neural Network,Patrice Kisanger,2024,10.32920/26883595.v1,https://doi.org/10.32920/26883595.v1,posted-content,,network anomaly detection scheme using graph neural network,,TITLE_DUP_019,,candidate_duplicate,normalized-title candidate with CR025
CR025,28,Network Anomaly Detection Scheme Using Graph Neural Network,Patrice Kisanger,2024,10.32920/26883595,https://doi.org/10.32920/26883595,posted-content,,network anomaly detection scheme using graph neural network,,TITLE_DUP_019,,candidate_duplicate,normalized-title candidate with CR024
CR026,,IDAC: Federated Learning-Based Intrusion Detection Using Autonomously Extracted Anomalies in IoT,"Ohtani, Takahiro and Yamamoto, Ryo and Ohzahata, Satoshi",2024,10.3390/s24103218,https://doi.org/10.3390/s24103218,journal-article,Sensors,idac federated learning based intrusion detection using autonomously extracted anomalies in iot,,,,no_automatic_match,
CR027,,Trustworthy Adaptive AI for Real-Time Intrusion Detection in Industrial IoT Security,"Al Rawajbeh, Mohammad and Maria Soosai, Amala Jayanthi and Ramasamy, Lakshmana Kumar and Khan, Firoz",2025,10.3390/iot6030053,https://doi.org/10.3390/iot6030053,journal-article,IoT,trustworthy adaptive ai for real time intrusion detection in industrial iot security,,,,no_automatic_match,
CR028,31,A deep learning/machine learning approach for anomaly based network intrusion detection,Reem Almuhanna; Samia Dardouri,2025,10.3389/frai.2025.1625891,https://doi.org/10.3389/frai.2025.1625891,journal-article,Frontiers in Artificial Intelligence,a deep learning machine learning approach for anomaly based network intrusion detection,DOI_DUP_021,TITLE_DUP_002,,candidate_duplicate,exact DOI candidate with GS057 | normalized-title candidate with GS057
CR029,,Adaptive Semi-Supervised Algorithm for Intrusion Detection and Unknown Attack Identification,"Li, Meng and Luo, Lei and Xiao, Kun and Wang, Geng and Wang, Yintao",2025,10.3390/app15041709,https://doi.org/10.3390/app15041709,journal-article,Applied Sciences,adaptive semi supervised algorithm for intrusion detection and unknown attack identification,,,,no_automatic_match,
CR030,33,Adaptive Decision-Level Intrusion Detection for Known and Zero-Day Attacks,Joseph P. Mchina; Neema Mduma; Ramadhani S. Sinde,2026,10.3390/network6020023,https://doi.org/10.3390/network6020023,journal-article,Network,adaptive decision level intrusion detection for known and zero day attacks,DOI_DUP_022,TITLE_DUP_006,,candidate_duplicate,exact DOI candidate with GS060 | normalized-title candidate with GS060
CR031,,Cross-Dataset Temporal and Semantic Generalization of Intrusion Detection Models for the Future Internet,"Elangovan, Rajesh and Parthasarathy, Durga Devi and Jawahar, M. and Kaliyaperumal, Prabu and Balusamy, Balamurugan and Yogarayan, Sumendra and Venkatesan, Vivek",2026,10.3390/fi18040194,https://doi.org/10.3390/fi18040194,journal-article,Future Internet,cross dataset temporal and semantic generalization of intrusion detection models for the future internet,,,,no_automatic_match,
CR032,,"FORT-IDS: a federated, optimized, robust and trustworthy intrusion detection system for IIoT security","Mazroa, Alanoud Al",2026,10.1038/s41598-025-31025-x,https://doi.org/10.1038/s41598-025-31025-x,journal-article,Scientific Reports,fort ids a federated optimized robust and trustworthy intrusion detection system for iiot security,,,,no_automatic_match,
CR033,,Unknown intrusion traffic detection method based on unsupervised learning and open-set recognition,"Fang, Jun and Xie, Cunxiang",2025,10.1038/s41598-025-01084-1,https://doi.org/10.1038/s41598-025-01084-1,journal-article,Scientific Reports,unknown intrusion traffic detection method based on unsupervised learning and open set recognition,,,,no_automatic_match,
CR034,37,NIDS-CBAD: detecting adversarial attacks in network intrusion detection systems using domain constraints,Vivek Kumar; Kamal Kumar; Maheep Singh,2024,10.1007/s13042-024-02506-8,https://doi.org/10.1007/s13042-024-02506-8,journal-article,International Journal of Machine Learning and Cybernetics,nids cbad detecting adversarial attacks in network intrusion detection systems using domain constraints,DOI_DUP_004,TITLE_DUP_021,,candidate_duplicate,exact DOI candidate with GS020 | normalized-title candidate with GS020
CR035,,Dataset-centric evaluation of federated intrusion detection models in IoT networks,"Bilal, Muhammad Ahmad and Ul Islam, Ihtesham and Idrees, Sarmad and Qasim, Muhammad and Khan, Muhammad Junaid and Khan, Jaleed",2026,10.1038/s41598-025-32567-w,https://doi.org/10.1038/s41598-025-32567-w,journal-article,Scientific Reports,dataset centric evaluation of federated intrusion detection models in iot networks,,,,no_automatic_match,
CR036,39,An Evaluation of Open-Set Recognition-Enabled End-Layers on Deep-Learning Models in Network Intrusion Detection Systems,Gaspard Baye; Priscila Silva; Alexandre Broggi; Lance Fiondella; Nathaniel Bastian; Gokhan Kul,2024,10.2139/ssrn.4933825,https://doi.org/10.2139/ssrn.4933825,posted-content,,an evaluation of open set recognition enabled end layers on deep learning models in network intrusion detection systems,DOI_DUP_020,TITLE_DUP_010,,candidate_duplicate,exact DOI candidate with GS034 | normalized-title candidate with GS034
CR037,,Enhancing trustworthiness in ML-based network intrusion detection with uncertainty quantification,"Talpini, Jacopo and Sartori, Fabio and Savi, Marco",2024,10.1007/s40860-024-00238-8,https://doi.org/10.1007/s40860-024-00238-8,journal-article,Journal of Reliable Intelligent Environments,enhancing trustworthiness in ml based network intrusion detection with uncertainty quantification,,,,no_automatic_match,
IX001,1,A Neuro-Symbolic Artificial Intelligence Network Intrusion Detection System,Alice Bizzarri; Brian Jalaian; Fabrizio Riguzzi; Nathaniel D. Bastian,2024,10.1109/icccn61486.2024.10637618,https://ieeexplore.ieee.org/document/10637618,proceedings-article,2024 33rd International Conference on Computer Communications and Networks (ICCCN),a neuro symbolic artificial intelligence network intrusion detection system,,,,no_automatic_match,
IX002,2,Adaptive Defense: Zero-Day Attack Detection in NIDS With Deep Reinforcement Learning,Khorshed Alam; Md Fahad Monir; Md Junayed Hossain; Mohammad Shorif Uddin; Md. Tarek Habib,2025,10.1109/access.2025.3585445,https://ieeexplore.ieee.org/document/11063272,journal-article,IEEE Access,adaptive defense zero day attack detection in nids with deep reinforcement learning,DOI_DUP_012,TITLE_DUP_007,,candidate_duplicate,exact DOI candidate with GS052 | normalized-title candidate with GS052
IX003,3,Machine Learning in Network Intrusion Detection: A Cross-Dataset Generalization Study,Marco Cantone; Claudio Marrocco; Alessandro Bria,2024,10.1109/access.2024.3472907,https://ieeexplore.ieee.org/document/10704637,journal-article,IEEE Access,machine learning in network intrusion detection a cross dataset generalization study,DOI_DUP_010,TITLE_DUP_017,VERSION_DUP_002,candidate_duplicate,exact DOI candidate with GS017 | normalized-title candidate with GS017 | manual preprint-to-final version candidate with GS014
IX004,4,"Meta: Toward a Unified, Multimodal Dataset for Network Intrusion Detection Systems",Syed Wali; Yasir Ali Farrukh; Irfan Khan; Nathaniel D. Bastian,2024,10.1109/ieeedata.2024.3482286,https://ieeexplore.ieee.org/document/10720901,journal-article,IEEE Data Descriptions,meta toward a unified multimodal dataset for network intrusion detection systems,,,,no_automatic_match,
