source_record_id,result_rank,title,authors,year,doi,url,record_type,venue,notes
SL001,1,NIDS-APNHA: a transfer learning based network intrusion detection system with alert prioritization and network harmony analysis,Sherin R. C. Jeyavim; Parkavi K.,2025,10.1007/s10586-025-05780-5,https://link.springer.com/article/10.1007/s10586-025-05780-5,journal-article,Cluster Computing,Live record; displayed publication date 03 November 2025; not the historical record list
SL002,2,Design and validation of a deep learning-based network intrusion detection algorithm,Dai Wanchang; Liu Yingfang; Diao Qi,2026,10.1007/s44163-026-00958-1,https://link.springer.com/article/10.1007/s44163-026-00958-1,journal-article,Discover Artificial Intelligence,Live record; displayed publication date 22 February 2026; not the historical record list
SL003,4,A comprehensive defense approach of deep learning-based NIDS against adversarial attacks,Barik Kousik; Misra Sanjay,2025,10.1007/s11042-025-21008-5,https://link.springer.com/article/10.1007/s11042-025-21008-5,journal-article,Multimedia Tools and Applications,Live record; displayed publication date 30 July 2025; current display rank 3 was excluded because it was published after the cutoff
SL004,5,Enhancing network intrusion detection systems with combined network and host traffic features using deep learning: deep learning and IoT perspective,Alars Estabraq Saleem Abduljabbar; Kurnaz Sefer,2024,10.1007/s10791-024-09480-3,https://link.springer.com/article/10.1007/s10791-024-09480-3,journal-article,Discover Computing,Live record; displayed publication date 04 November 2024; not the historical record list
SL005,6,A minimalistic yet effective domain adaptation strategy for IoMT network intrusion detection,Mahbub Mahir; Riasat Md. Tanjib; Hamid Tasnima; Sutradhar Sujon Chandra; Khan Mohammed Shafiul Alam,2026,10.1007/s43926-026-00288-9,https://link.springer.com/article/10.1007/s43926-026-00288-9,journal-article,Discover Internet of Things,Live record; displayed publication date 09 February 2026; not the historical record list
SL006,7,Federated transfer learning for rare attack class detection in network intrusion detection systems,Sri Abhijit Chunduru; Annie Jerusha Y.; Syed Ibrahim S. P.; Varadharajan Vijay,2025,10.1038/s41598-025-02068-x,https://link.springer.com/article/10.1038/s41598-025-02068-x,journal-article,Scientific Reports,Live record; displayed publication date 30 September 2025; not the historical record list
SL007,9,HEN: a novel hybrid explainable neural network based framework for robust network intrusion detection,Wei Wei; Chen Sijin; Chen Cen; Wang Heshi; Liu Jing; Cheng Zhongyao; Zou Xiaofeng,2024,10.1007/s11432-023-4067-x,https://link.springer.com/article/10.1007/s11432-023-4067-x,journal-article,Science China Information Sciences,Live record; displayed publication date 28 June 2024; current display rank 8 was excluded because it was published after the cutoff
SL008,10,SHAP Insights into Domain Adaptation in Netflow-Based Network Intrusion Detection Powered by Deep Learning,Pawlicki Marek; Szelest Sebastian; Kozik Rafal; Choraś Michał,2025,10.1007/978-3-032-00644-8_18,https://link.springer.com/chapter/10.1007/978-3-032-00644-8_18,proceedings-article,International Conference on Availability Reliability and Security,Live record; displayed publication year 2025; not the historical record list
SL009,11,Neuro-Symbolic Integration for Open Set Recognition in Network Intrusion Detection,Bizzarri Alice; Yu Chung-En; Jalaian Brian; Riguzzi Fabrizio; Bastian Nathaniel D.,2025,10.1007/978-3-031-80607-0_5,https://link.springer.com/chapter/10.1007/978-3-031-80607-0_5,proceedings-article,International Conference of the Italian Association for Artificial Intelligence,Live record; displayed publication year 2025; not the historical record list
